X,Y,stationid,highwayid,milepost,locationte,length,upstream,downstream,stationcla,numberlane,length_mid,downstre_1,upstream_m,agencyid,opposite_s,segment_ge,start_date,end_date,latitude
-122.728058764272873,45.373586173878302,3101,4,1.960000000000000,I-205 SB @ Prosperity Park,2.410000000000000,1114,0,1,3,2.410000000000000,,,266,3100,"SRID=3857;LINESTRING(-13661207.2881 5680499.315,-13661280.8847 5680507.3236,-13661395.608 5680517.2313,-13661668.5593 5680529.4034,-13662207.6962 5680527.2537,-13662339.0998 5680532.6715,-13662524.7431 5680545.5635,-13662803.0548 5680551.225,-13663000.31",2013-07-01 09:00:00-07,,
-122.575607299804702,45.454959869384751,5098,4,16.239999999999998,Johnson Creek SB,0.000000000000000,5054,5125,5,2,0.000000000000000,0.000000000000000,0.000000000000000,,,,2014-01-01 00:00:00-08,,
-122.56826019287108,45.431838989257798,5126,4,14.320000000000000,Sunnybrook SB,0.000000000000000,5125,5099,5,2,0.000000000000000,0.000000000000000,0.000000000000000,,,,2014-01-01 00:00:00-08,,
-122.700229000528878,45.462856344875505,1011,1,296.259999999999991,Spring Garden St NB,0.710000000000000,1010,1012,1,3,0.710000000000000,,,158,1108,"SRID=3857;LINESTRING(-13659897.5314 5693892.9574,-13659390.5494 5694295.2451,-13659046.7906 5694583.9252,-13658919.1509 5694692.1289,-13658800.242 5694783.8162,-13658653.6726 5694896.7749,-13658613.8662 5694925.3389)",2004-01-01 00:00:00-08,,
-122.761283375943194,45.434538439325529,1073,10,5.950000000000000,99W EB to SB,0.830000000000000,1074,1072,1,2,0.830000000000000,,,20,1070,"SRID=3857;LINESTRING(-13666396.9151 5690865.901,-13666376.7985 5690850.3932,-13666306.4322 5690793.6691,-13666247.522 5690743.3308,-13666202.2675 5690705.2364,-13666179.1528 5690682.81,-13666151.2779 5690655.7665,-13666090.6192 5690601.733,-13665999.0377",2004-01-01 00:00:00-08,,
-122.677108764648438,45.548149108886712,2019,1,303.879999999999995,Going St NB HOV,0.950000000000000,1018,2020,2,1,0.950000000000000,304.139999999999986,303.189999999999998,,1033,,2014-01-01 00:00:00-08,,
-122.676963806152344,45.55981063842772,2020,1,304.399999999999977,Alberta St NB HOV,0.620000000000000,2019,2021,2,1,0.620000000000000,304.759999999999991,304.139999999999986,,1032,,2014-01-01 00:00:00-08,,
-122.676971435546847,45.568359375,2021,1,305.120000000000005,Portland Blvd NB HOV,1.060000000000000,2020,2022,2,1,1.060000000000000,305.819999999999993,304.759999999999991,,1031,,2014-01-01 00:00:00-08,,
-122.676963806152344,45.583339691162116,2023,1,306.509999999999991,Delta Park NB HOV,0.470000000000000,2022,1024,2,1,0.470000000000000,306.980000000000018,306.509999999999991,,1147,,2014-01-01 00:00:00-08,,
-122.618797302246051,45.538528442382805,5061,8,2.400000000000000,Sandy WB,0.000000000000000,5060,5062,5,2,0.000000000000000,0.000000000000000,0.000000000000000,,,,2014-01-01 00:00:00-08,,
-122.434183492463461,45.541753215252612,3149,7,15.170000000000000,I-84 EB @ 223rd,0.770000000000000,3147,3151,1,3,0.770000000000000,,,291,3150,"SRID=3857;LINESTRING(-13630122.7801 5706937.6349,-13630078.4494 5706951.3152,-13630012.9397 5706972.4446,-13629954.2433 5706993.1943,-13629890.9474 5707017.9329,-13629696.5579 5707098.5311,-13629596.4052 5707137.8307,-13629537.6839 5707159.4506,-13629488",2012-12-31 23:00:00-08,,
-122.433806207381863,45.541949810017613,3150,8,15.170000000000000,I-84 WB @ 223rd,0.760000000000000,3152,1058,1,3,0.760000000000000,,,308,3149,"SRID=3857;LINESTRING(-13628437.2732 5707056.8971,-13628545.1332 5707096.9516,-13628673.5619 5707144.1514,-13628756.9456 5707173.5333,-13628813.475 5707191.8199,-13628869.4418 5707208.3318,-13628921.7031 5707222.4893,-13628992.1687 5707236.4784,-13629043.",2012-12-31 23:00:00-08,,
-122.508743286132798,45.222110748291016,6068,2,307.000000000000000,TMOC TEST Controller1,1.000000000000000,1027,6069,1,3,1.000000000000000,0.000000000000000,0.000000000000000,,,,2014-01-01 00:00:00-08,,
-122.50875091552733,45.207500457763658,6069,2,306.500000000000000,TMOC TEST Controller2,1.000000000000000,6068,1028,1,3,1.000000000000000,0.000000000000000,0.000000000000000,,,,2014-01-01 00:00:00-08,,
-122.894450406521784,45.551909826435036,1128,11,62.799999999999997,Cornelius Ps Rd to EB US26,0.910000000000000,1082,1084,,2,0.910000000000000,63.549999999999997,62.640000000000001,192,,"SRID=3857;LINESTRING(-13680873.0575869 5709005.9694478,-13680490.2761939 5708800.08006602,-13679022.3260911 5708010.31313582)",2015-06-03 00:00:00-07,,
-122.867234463997448,45.541643162054029,1084,11,64.290000000000006,185th Ave SB to EB,0.770000000000000,1128,1083,,2,0.770000000000000,64.319999999999993,63.549999999999997,193,,"SRID=3857;LINESTRING(-13679022.3260911 5708010.31313582,-13678125.3700298 5707527.59458447,-13677632.0156692 5707258.47467,-13677456.537487 5707166.97577099)",2015-06-03 00:00:00-07,,
