starttime,traveltime
7/1/2015 2:30 am,424
7/1/2015 5:24 am,332
7/1/2015 5:41 am,486
7/1/2015 5:42 am,712
7/1/2015 5:46 am,611
7/1/2015 7:35 am,573
7/1/2015 7:37 am,515
7/1/2015 7:46 am,482
7/1/2015 7:47 am,463
7/1/2015 8:04 am,512
7/1/2015 8:27 am,563
7/1/2015 8:27 am,1824
7/1/2015 8:33 am,531
7/1/2015 8:38 am,576
7/1/2015 8:38 am,573
7/1/2015 8:43 am,846
7/1/2015 8:48 am,538
7/1/2015 9:20 am,551
7/1/2015 9:21 am,548
7/1/2015 10:03 am,469
7/1/2015 10:04 am,606
7/1/2015 10:17 am,1521
7/1/2015 10:22 am,1937
7/1/2015 10:29 am,617
7/1/2015 10:30 am,518
7/1/2015 10:32 am,476
7/1/2015 10:35 am,594
7/1/2015 10:44 am,613
7/1/2015 11:03 am,2298
7/1/2015 11:11 am,563
7/1/2015 11:11 am,1195
7/1/2015 11:14 am,559
7/1/2015 11:14 am,560
7/1/2015 11:19 am,509
7/1/2015 11:19 am,2121
7/1/2015 11:30 am,451
7/1/2015 11:48 am,616
7/1/2015 12:05 pm,585
7/1/2015 12:05 pm,665
7/1/2015 12:17 pm,534
7/1/2015 12:21 pm,588
7/1/2015 12:22 pm,611
7/1/2015 12:23 pm,537
7/1/2015 12:37 pm,637
7/1/2015 12:38 pm,473
7/1/2015 12:39 pm,561
7/1/2015 12:45 pm,892
7/1/2015 1:10 pm,1555
7/1/2015 1:14 pm,533
7/1/2015 1:15 pm,673
7/1/2015 1:20 pm,563
7/1/2015 1:23 pm,541
7/1/2015 1:27 pm,548
7/1/2015 1:33 pm,915
7/1/2015 1:33 pm,917
7/1/2015 1:44 pm,660
7/1/2015 1:45 pm,596
7/1/2015 1:48 pm,579
7/1/2015 2:10 pm,599
7/1/2015 2:11 pm,560
7/1/2015 2:11 pm,626
7/1/2015 2:17 pm,611
7/1/2015 2:22 pm,542
7/1/2015 2:22 pm,580
7/1/2015 2:24 pm,577
7/1/2015 2:28 pm,801
7/1/2015 2:28 pm,678
7/1/2015 2:30 pm,586
7/1/2015 2:31 pm,593
7/1/2015 2:32 pm,548
7/1/2015 2:35 pm,636
7/1/2015 2:40 pm,671
7/1/2015 2:40 pm,747
7/1/2015 2:41 pm,715
7/1/2015 2:47 pm,662
7/1/2015 3:04 pm,688
7/1/2015 3:04 pm,1141
7/1/2015 3:04 pm,686
7/1/2015 3:06 pm,741
7/1/2015 3:06 pm,828
7/1/2015 3:12 pm,1160
7/1/2015 3:13 pm,832
7/1/2015 3:13 pm,770
7/1/2015 3:14 pm,844
7/1/2015 3:15 pm,861
7/1/2015 3:19 pm,813
7/1/2015 3:24 pm,1003
7/1/2015 3:25 pm,820
7/1/2015 3:25 pm,809
7/1/2015 3:27 pm,934
7/1/2015 3:29 pm,924
7/1/2015 3:34 pm,846
7/1/2015 3:39 pm,909
7/1/2015 3:42 pm,906
7/1/2015 4:00 pm,912
7/1/2015 4:01 pm,966
7/1/2015 4:02 pm,847
7/1/2015 4:02 pm,904
7/1/2015 4:02 pm,886
7/1/2015 4:02 pm,895
7/1/2015 4:04 pm,857
7/1/2015 4:04 pm,901
7/1/2015 4:06 pm,868
7/1/2015 4:08 pm,832
7/1/2015 4:09 pm,884
7/1/2015 4:12 pm,882
7/1/2015 4:13 pm,872
7/1/2015 4:15 pm,900
7/1/2015 4:27 pm,903
7/1/2015 4:27 pm,861
7/1/2015 4:29 pm,800
7/1/2015 4:30 pm,791
7/1/2015 4:36 pm,910
7/1/2015 4:38 pm,930
7/1/2015 4:38 pm,833
7/1/2015 4:41 pm,1013
7/1/2015 5:03 pm,1364
7/1/2015 5:10 pm,897
7/1/2015 5:14 pm,845
7/1/2015 5:15 pm,866
7/1/2015 5:15 pm,1306
7/1/2015 5:17 pm,871
7/1/2015 5:17 pm,840
7/1/2015 5:21 pm,794
7/1/2015 5:24 pm,795
7/1/2015 5:24 pm,854
7/1/2015 5:25 pm,841
7/1/2015 5:27 pm,728
7/1/2015 5:37 pm,739
7/1/2015 5:40 pm,675
7/1/2015 5:41 pm,773
7/1/2015 5:42 pm,695
7/1/2015 5:43 pm,676
7/1/2015 5:46 pm,795
7/1/2015 6:01 pm,891
7/1/2015 6:02 pm,848
7/1/2015 6:02 pm,882
7/1/2015 6:06 pm,871
7/1/2015 6:07 pm,1800
7/1/2015 6:07 pm,1960
7/1/2015 6:07 pm,975
7/1/2015 6:07 pm,884
7/1/2015 6:12 pm,881
7/1/2015 6:17 pm,723
7/1/2015 6:18 pm,870
7/1/2015 6:22 pm,900
7/1/2015 6:24 pm,910
7/1/2015 6:28 pm,792
7/1/2015 6:32 pm,811
7/1/2015 6:32 pm,878
7/1/2015 6:38 pm,730
7/1/2015 6:42 pm,701
7/1/2015 7:04 pm,614
7/1/2015 7:11 pm,641
7/1/2015 7:11 pm,574
7/1/2015 7:22 pm,959
7/1/2015 7:24 pm,1471
7/1/2015 7:24 pm,572
7/1/2015 7:30 pm,517
7/1/2015 7:34 pm,436
7/1/2015 7:39 pm,541
7/1/2015 7:45 pm,506
7/1/2015 8:24 pm,507
7/1/2015 8:39 pm,493
7/1/2015 8:49 pm,477
7/1/2015 9:06 pm,1215
7/1/2015 9:15 pm,482
7/1/2015 9:15 pm,447
7/1/2015 9:23 pm,496
