starttime,traveltime
7/1/15 0:01,455
7/1/15 0:44,486
7/1/15 1:04,432
7/1/15 2:04,410
7/1/15 2:43,356
7/1/15 2:48,414
7/1/15 4:31,799
7/1/15 5:03,379
7/1/15 5:38,808
7/1/15 5:40,391
7/1/15 6:03,422
7/1/15 6:05,414
7/1/15 6:09,424
7/1/15 6:12,818
7/1/15 6:12,523
7/1/15 6:16,491
7/1/15 6:16,510
7/1/15 6:17,504
7/1/15 6:18,749
7/1/15 6:20,582
7/1/15 6:20,580
7/1/15 6:24,483
7/1/15 6:33,553
7/1/15 6:38,642
7/1/15 6:40,631
7/1/15 6:40,627
7/1/15 6:41,602
7/1/15 6:42,663
7/1/15 6:46,624
7/1/15 6:47,629
7/1/15 6:47,652
7/1/15 7:00,1903
7/1/15 7:00,1072
7/1/15 7:00,791
7/1/15 7:00,783
7/1/15 7:02,625
7/1/15 7:02,596
7/1/15 7:02,592
7/1/15 7:06,591
7/1/15 7:06,661
7/1/15 7:09,683
7/1/15 7:09,655
7/1/15 7:18,880
7/1/15 7:21,847
7/1/15 7:27,909
7/1/15 7:32,884
7/1/15 7:34,990
7/1/15 7:39,949
7/1/15 7:43,917
7/1/15 8:00,927
7/1/15 8:03,903
7/1/15 8:05,885
7/1/15 8:06,1032
7/1/15 8:10,1264
7/1/15 8:14,969
7/1/15 8:21,807
7/1/15 8:26,760
7/1/15 8:29,726
7/1/15 8:33,709
7/1/15 8:33,686
7/1/15 8:36,812
7/1/15 8:38,675
7/1/15 8:40,716
7/1/15 8:46,671
7/1/15 9:06,588
7/1/15 9:08,579
7/1/15 9:14,525
7/1/15 9:20,997
7/1/15 9:22,730
7/1/15 9:28,627
7/1/15 9:28,608
7/1/15 10:08,575
7/1/15 10:10,691
7/1/15 10:11,2012
7/1/15 10:11,688
7/1/15 10:13,598
7/1/15 10:13,676
7/1/15 10:16,648
7/1/15 10:33,563
7/1/15 10:36,691
7/1/15 10:39,549
7/1/15 10:39,513
7/1/15 10:43,703
7/1/15 10:43,700
7/1/15 10:44,688
7/1/15 11:00,959
7/1/15 11:02,669
7/1/15 11:05,1515
7/1/15 11:15,587
7/1/15 11:19,596
7/1/15 11:19,663
7/1/15 11:24,906
7/1/15 11:28,671
7/1/15 11:28,656
7/1/15 11:30,649
7/1/15 11:33,626
7/1/15 11:33,680
7/1/15 11:41,566
7/1/15 12:06,586
7/1/15 12:09,548
7/1/15 12:11,548
7/1/15 12:13,620
7/1/15 12:28,564
7/1/15 12:33,755
7/1/15 12:36,751
7/1/15 12:44,705
7/1/15 13:05,1315
7/1/15 13:08,2245
7/1/15 13:17,627
7/1/15 13:20,613
7/1/15 13:26,1016
7/1/15 13:26,1015
7/1/15 13:26,1421
7/1/15 13:26,1421
7/1/15 13:32,590
7/1/15 13:33,586
7/1/15 13:33,622
7/1/15 13:41,552
7/1/15 13:42,570
7/1/15 14:04,552
7/1/15 14:09,567
7/1/15 14:12,519
7/1/15 14:12,532
7/1/15 14:13,533
7/1/15 14:16,1205
7/1/15 14:23,659
7/1/15 14:36,1119
7/1/15 14:46,605
7/1/15 15:05,593
7/1/15 15:14,1231
7/1/15 15:17,647
7/1/15 15:28,1829
7/1/15 15:31,512
7/1/15 15:37,547
7/1/15 15:38,566
7/1/15 15:42,629
7/1/15 15:43,570
7/1/15 15:45,694
7/1/15 16:09,647
7/1/15 16:15,533
7/1/15 16:31,625
7/1/15 16:34,639
7/1/15 16:41,602
7/1/15 16:41,731
7/1/15 16:44,564
7/1/15 16:44,564
7/1/15 17:07,1011
7/1/15 17:09,537
7/1/15 17:10,611
7/1/15 17:10,614
7/1/15 17:13,1046
7/1/15 17:22,659
7/1/15 17:25,575
