"","stationid","highwayid","milepost","locationtext","length","upstream","downstream","stationclass","numberlanes","length_mid","downstream_mile","upstream_mile","agencyid","opposite_stationid","segment_geom","station_geom","start_date","end_date"
"1",5037,10,7,"ORE 217 WB to SB",0,5036,5038,5,1,0,0,0,NA,NA,NA,NA,2014-01-01 00:00:00,NA
"2",1517,502,8,"I-5 SB at 159th",1,0,1515,1,3,0.7,7.65,NA,NA,NA,NA,"0101000020110F0000636463922A0B6AC109E2481523E45541",2014-01-01 00:00:00,NA
"3",1523,502,0.8,"I-5 SB at Evergreen Aux Lane",1,0,0,1,1,0,0,NA,NA,NA,NA,"0101000020110F000004A59C228C0B6AC106829B771CD45541",2014-01-01 00:00:00,NA
"4",1520,53,3.97,"SR500 WB at Thurston Way MP3.97",1,1549,1500,1,2,0.49,3.895,4.385,NA,NA,NA,"0101000020110F0000399BCD733A076AC1BFC6DDD020D75541",2014-01-01 00:00:00,NA
"5",1515,502,7.3,"I-5 SB at 134th",1,1515,1513,1,2,0.85,6.8,7.3,NA,NA,NA,"0101000020110F0000F2A870A2ED0A6AC1C52123E3FCE05541",2014-01-01 00:00:00,NA
"6",3101,4,1.96,"I-205 SB @ Prosperity Park",2.41,1114,0,1,3,2.41,NA,NA,"266",3100,"0102000020110F0000280000007E1D38E9820E6AC1C0F528D45CAB554160764F1C8C0E6AC1C8DCB5D45EAB55416ABC74739A0E6AC1809ECD4E61AB55411DC9E591BC0E6AC1384ED15964AB5541394547F6FF0E6AC1F09E3CD063AB5541C58F3163100F6AC120DBF92A65AB5541A679C797270F6AC15062106468AB5541EEEBC0614A0F6AC1686666CE69AB55411058390A630F6AC1189E5EB566AB5541273108BA7B0F6AC1F041CF265EAB55417CF2B02A890F6AC1D06F5FDF57AB55413CBD524E970F6AC128287E0850AB5541DF4F8DC5B00F6AC168226C7C3DAB55411AC05B8AC30F6AC1E861A17A2DAB554144696F40D60F6AC1288716B51FAB55418638D6BDF20F6AC110C7BABC0AAB5541D7A370B308106AC1684DF3EEFAAA55419BE61D071A106AC148B6F3FDF0AA554141F1638830106AC198BB9614E5AA554120D26F7337106AC1A0703DFEE3AA55411C7C61343C106AC10066F7A4E4AA5541C13923F240106AC1B01C5AF8E5AA554155302AA545106AC190CB7F30E8AA5541022B87CE49106AC130BB2717EBAA5541470378694E106AC1701B0D24EFAA55412063EE7052106AC1302AA9D7F3AA5541C0CAA10357106AC1A82C4314FBAA5541E25817775A106AC1400AD7AB00AB55419A081B225E106AC19006F0DE07AB5541501E16AE60106AC1180DE0E10DAB5541EE7C3FFD62106AC1B8A6795714AB5541355EBA2D65106AC1780B24F01BAB55418A1F635E67106AC120EBE2FA23AB554132E6AEDD68106AC1088195732CAB5541623255226A106AC1C8C3429935AB5541D49AE6BB6A106AC1B059F5CD3DAB5541A9A44EFC6A106AC1002B87AE46AB55410C93A9DE6A106AC1B0D85F0650AB55412E211F8469106AC168AA600067AB5541D881735868106AC1A0CDAAD372AB5541","0101000020110F000051F63E20E90E6AC16747DBFE63AB5541",2013-07-01 09:00:00,NA
"7",5098,4,16.24,"Johnson Creek SB",0,5054,5125,5,2,0,0,0,NA,NA,NA,"0101000020110F0000DA7906C69F066AC100F7E20FFEB75541",2014-01-01 00:00:00,NA
"8",5055,7,0.52,"Grand EB",0,0,5056,5,2,0,0,0,NA,NA,NA,NA,2014-01-01 00:00:00,NA
"9",5126,4,14.32,"Sunnybrook SB",0,5125,5099,5,2,0,0,0,NA,NA,NA,"0101000020110F0000B59FFC8939066AC1EBFFC5F568B45541",2014-01-01 00:00:00,NA
"10",1011,1,296.26,"Spring Garden St NB",0.71,1010,1012,1,3,0.71,NA,NA,"158",1108,"0102000020110F000007000000923A0131DF0D6AC1A80A463D71B855414FAF94D19F0D6AC1E8B7AFCFD5B855415F984CD9740D6AC1107A36FB1DB955413C2CD4E4640D6AC1C8E53F0839B95541C876BE07560D6AC1F09E3CF44FB9554170F085B5430D6AC128F697316CB9554110E9B7BB3E0D6AC1A089B05573B95541","0101000020110F0000CDDD66E0650D6AC12703B85D37B95541",2004-01-01 00:00:00,NA
"11",1073,10,5.95,"99W EB to SB",0.83,1074,1072,1,2,0.83,NA,NA,"20",1070,"0102000020110F000014000000CC7F489D0B116AC1E8FBA9797CB55541DF4F8D1909116AC158302A9978B555411895D44D00116AC1D088D26A6AB555415839B4F0F8106AC1C0D32BD55DB55541295C8F48F3106AC1782D214F54B55541D4BCE364F0106AC1400AD7B34EB555418A8EE4E8EC106AC108560EF147B55541847CD053E5106AC1D878E96E3AB55541A2D634E1D9106AC10066F71825B5554140A4DFA8CF106AC160FE43820FB5554126C28677C4106AC1900F7ACEF5B45541787AA5DABF106AC1D066D57BEAB4554116FBCB28BE106AC160E5D052E6B45541645DDCE0B5106AC170B515BFCFB45541F0A7C6D3AB106AC14837893DB4B45541168C4AD0A4106AC1C8B12E829FB45541075F98C090106AC1587DAE9E64B45541D85F76B586106AC1B8F3FD9047B45541E6AE251881106AC1880D4FAB37B455413CDF4FC974106AC1903A019D14B45541","0101000020110F000011C8BE71B7106AC1D45A0B04D4B45541",2004-01-01 00:00:00,NA
"12",5049,4,24.77,"Airportway WB to SB",0,0,5050,5,2,0,0,0,NA,NA,NA,NA,2014-01-01 00:00:00,NA
"13",5050,4,24.66,"Airportway EB to SB",0,5049,5051,5,2,0,0,0,NA,NA,NA,NA,2014-01-01 00:00:00,NA
"14",5051,4,20.34,"Stark/Washington SB",0,5050,5052,5,2,0,0,0,NA,NA,NA,NA,2014-01-01 00:00:00,NA
"15",5052,4,19.25,"Division SB",0,5051,5053,5,2,0,0,0,NA,NA,NA,NA,2014-01-01 00:00:00,NA
"16",5053,4,18.92,"Powell Blvd SB",0,5052,5054,5,2,0,0,0,NA,NA,NA,NA,2014-01-01 00:00:00,NA
"17",5054,4,17.5,"Foster SB",0,5053,0,5,2,0,0,0,NA,NA,NA,NA,2014-01-01 00:00:00,NA
"18",1519,52,3.97,"SR500 EB at Thurston Way MP3.97",1,1518,1548,1,2,0.49,4.385,3.895,NA,NA,NA,"0101000020110F00001A52DDBA2F076AC156B0C057DAD65541",2014-01-01 00:00:00,NA
"19",2019,1,303.88,"Going St NB HOV",0.95,1018,2020,2,1,0.95,304.14,303.19,NA,1033,NA,"0101000020110F00001212F328240C6AC11F27B94772C65541",2014-01-01 00:00:00,NA
"20",2020,1,304.4,"Alberta St NB HOV",0.62,2019,2021,2,1,0.62,304.76,304.14,NA,1032,NA,"0101000020110F0000DF2C9324220C6AC158D00FC041C85541",2014-01-01 00:00:00,NA
"21",2021,1,305.12,"Portland Blvd NB HOV",1.06,2020,2022,2,1,1.06,305.82,304.76,NA,1031,NA,"0101000020110F0000B8A4C03F220C6AC1ACF36F9195C95541",2014-01-01 00:00:00,NA
"22",2023,1,306.51,"Delta Park NB HOV",0.47,2022,1024,2,1,0.47,306.98,306.51,NA,1147,NA,"0101000020110F0000DF2C9324220C6AC19414942BE9CB5541",2014-01-01 00:00:00,NA
"23",2022,1,306.51,"Denver Ave NB HOV",0.69,2021,2023,2,1,0.7,306.51,305.82,NA,1147,NA,NA,2014-01-01 00:00:00,NA
"24",5001,1,286.1,"Stafford Rd EB to NB",0,0,5002,5,2,0,0,0,NA,NA,NA,NA,2014-01-01 00:00:00,NA
"25",5002,1,286.3,"Stafford Rd WB to NB",0,5001,5003,5,2,0,0,0,NA,NA,NA,NA,2014-01-01 00:00:00,NA
"26",5003,1,289.4,"Nyberg EB to NB",0,5002,5004,5,2,0,0,0,NA,NA,NA,NA,2014-01-01 00:00:00,NA
"27",5004,1,289.63,"Nyberg WB to NB",0,5003,5005,5,2,0,0,0,NA,NA,NA,NA,2014-01-01 00:00:00,NA
"28",5005,1,290.54,"Lower Boones NB",0,5004,5006,5,2,0,0,0,NA,NA,NA,NA,2014-01-01 00:00:00,NA
"29",5006,1,291.38,"Upper Boones NB",0,5005,5007,5,2,0,0,0,NA,NA,NA,NA,2014-01-01 00:00:00,NA
"30",5007,1,292.18,"ORE 217/Kruseway NB",0,5006,5008,5,2,0,0,0,NA,NA,NA,NA,2014-01-01 00:00:00,NA
"31",1524,50,2.3,"SR14 EB at Blandford Dr",1,1501,1599,1,2,1.445,3.35,1.905,NA,NA,NA,"0101000020110F000056950C4E96096AC140C5621933D15541",2014-01-01 00:00:00,NA
"32",1521,55,27.4,"I-205 SB at SR14",1,1533,1609,1,3,0.2,26.085,27.6,NA,NA,NA,"0101000020110F000049F2EBA673056AC1076E29946CD05541",2014-01-01 00:00:00,NA
"33",1525,51,2.3,"SR14 WB at Blandford Dr",1,1600,1502,1,2,1.445,1.905,3.35,NA,NA,NA,"0101000020110F0000E058C9C193096AC13417756BA3D15541",2014-01-01 00:00:00,NA
"34",1990,502,76.54,"13th Chehalis",NA,NA,1596,NA,2,NA,74.75,74.75,"005es07654:_MS",1989,NA,"0101000020110F00005E87BBCB751B6AC1925475A589725641",2011-06-29 16:00:00,NA
"35",5015,1,299.7,"Macadam Ave NB",0,5014,5016,5,2,0,0,0,NA,NA,NA,NA,2014-01-01 00:00:00,NA
"36",5016,1,301.09,"Morrison BR WB to NB",0,5015,5017,5,2,0,0,0,NA,NA,NA,NA,2014-01-01 00:00:00,NA
"37",5017,1,301.09,"Morrison BR EB to NB",0,5016,5018,5,2,0,0,0,NA,NA,NA,NA,2014-01-01 00:00:00,NA
"38",5018,1,302.5,"Broadway NB",0,5017,5019,5,2,0,0,0,NA,NA,NA,NA,2014-01-01 00:00:00,NA
"39",5019,1,303.88,"Going St NB",0,5018,5020,5,2,0,0,0,NA,NA,NA,NA,2014-01-01 00:00:00,NA
"40",5020,1,304.4,"Alberta St NB",0,5019,5021,5,2,0,0,0,NA,NA,NA,NA,2014-01-01 00:00:00,NA
"41",5021,1,305.12,"Portland Blvd NB",0,5020,5022,5,2,0,0,0,NA,NA,NA,NA,2014-01-01 00:00:00,NA
"42",5022,1,306.51,"Denver Ave NB",0,5021,5023,5,2,0,0,0,NA,NA,NA,NA,2014-01-01 00:00:00,NA
"43",5023,1,306.51,"Delta Park NB",0,5022,5024,5,2,0,0,0,NA,NA,NA,NA,2014-01-01 00:00:00,NA
"44",5024,1,307.46,"Marine Dr NB",0,5023,5025,5,2,0,0,0,NA,NA,NA,NA,2014-01-01 00:00:00,NA
"45",5025,1,307.9,"Jantzen Beach NB",0,5024,0,5,2,0,0,0,NA,NA,NA,NA,2014-01-01 00:00:00,NA
"46",5041,3,9.45,"ORE 99E NB",0,0,5042,5,2,0,0,0,NA,NA,NA,NA,2014-01-01 00:00:00,NA
"47",5042,3,11.05,"Gladstone NB",0,5041,5043,5,2,0,0,0,NA,NA,NA,NA,2014-01-01 00:00:00,NA
"48",5043,3,12.94,"Clackamas Hwy NB",0,5042,5044,5,2,0,0,0,NA,NA,NA,NA,2014-01-01 00:00:00,NA
