"","detectorid","highwayid","enabledflag","locationtext","detectortype","detectorclass","detectortitle","detectorstatus","lanenumber","stationid","rampid","controllerid","end_date","start_date","milepost","agency_lane","atms_id"
"1",100294,1,1,"I-5 NB @ Corbett",8,1,"100294/1",0,3,3193,3193,3193,NA,2014-05-01 00:00:00,298.9,1,3333
"2",100270,2,1,"I-5 SB @ Corbett",8,1,"100270/2",0,2,3194,3194,3194,NA,2014-05-01 00:00:00,298.9,2,3335
"3",100271,2,1,"I-5 SB @ Corbett",8,1,"100271/3",0,1,3194,3194,3194,NA,2014-05-01 00:00:00,298.9,3,3334
"4",100333,6,1,"Everett to I-405 SB",8,1,"100333/1",0,2,1119,1119,1119,NA,2014-05-01 00:00:00,2.22,1,1820
"5",100334,6,1,"Everett to I-405 SB",8,1,"100334/2",0,1,1119,1119,1119,NA,2014-05-01 00:00:00,2.22,2,1819
"6",100332,6,1,"Taylor to I-405 SB",8,1,"100332/2",0,1,1120,1120,1120,NA,2014-05-01 00:00:00,1.81,2,1824
"7",100269,2,1,"I-5 SB @ Corbett",8,1,"100269/1",0,3,3194,3194,3194,NA,2014-05-01 00:00:00,298.9,1,3336
"8",3274,2,0,"I-5 SB @ Carman ML1",8,1,"I-5 SB @ Carman ML1",0,1,3114,3114,64,2014-09-19 00:00:00,2004-01-01 00:00:00,291.3,1,3274
"9",3275,2,0,"I-5 SB @ Carman ML2",8,1,"I-5 SB @ Carman ML2",0,2,3114,3114,64,2014-09-19 00:00:00,2004-01-01 00:00:00,291.3,2,3275
"10",3276,2,0,"I-5 SB @ Carman ML3",8,1,"I-5 SB @ Carman ML3",0,3,3114,3114,64,2014-09-19 00:00:00,2004-01-01 00:00:00,291.3,3,3276
"11",3277,2,0,"I-5 SB @ Carman ML4",8,1,"I-5 SB @ Carman ML4",0,4,3114,3114,64,2014-09-19 00:00:00,2004-01-01 00:00:00,291.3,4,3277
"12",1499,9,0,"99W EB to NB",8,5,"ORG217N5.90-ENTD1",0,1,5070,1070,1070,2014-04-30 00:00:00,2004-01-01 00:00:00,5.9,1,1499
"13",3425,1,0,"I-5 NB @ Carman ML1",8,1,"I-5 NB @ Carman ML1",0,1,3197,3197,64,2014-09-19 00:00:00,2004-01-01 00:00:00,291.3,1,3425
"14",3426,1,0,"I-5 NB @ Carman ML2",8,1,"I-5 NB @ Carman ML2",0,2,3197,3197,64,2014-09-19 00:00:00,2004-01-01 00:00:00,291.3,2,3426
"15",3427,1,0,"I-5 NB @ Carman ML3",8,1,"I-5 NB @ Carman ML3",0,3,3197,3197,64,2014-09-19 00:00:00,2004-01-01 00:00:00,291.3,3,3427
"16",3428,1,0,"I-5 NB @ Carman ML4",8,1,"I-5 NB @ Carman ML4",0,4,3197,3197,64,2014-09-19 00:00:00,2004-01-01 00:00:00,291.3,4,3428
"17",1937,12,0,"Skyline CD WB",8,1,"US26W71.07-ML2",2,2,1139,1139,1139,2014-09-29 00:00:00,2004-01-01 00:00:00,71.07,2,1937
"18",1837,12,0,"US26 WB @ I-405 Count Station",8,1,"I-405SBTo-US26WB-ML3",0,3,1122,1122,1122,2014-09-29 00:00:00,2004-01-01 00:00:00,73.71,3,1837
"19",100833,2,1,"Columbia (2R011) to SB I-5",8,1,"100833/1",1,3,1028,1028,1028,NA,2015-06-02 15:10:00,305.97,1,1254
"20",100832,2,1,"WB Lombard (2R013) to SB I-5",8,1,"100832/3",1,1,1029,1029,1029,NA,2015-06-02 15:10:00,305.51,3,1259
"21",100831,2,1,"WB Lombard (2R013) to SB I-5",8,1,"100831/2",1,2,1029,1029,1029,NA,2015-06-02 15:10:00,305.51,2,1260
"22",100830,2,1,"WB Lombard (2R013) to SB I-5",8,1,"100830/1",1,3,1029,1029,1029,NA,2015-06-02 15:10:00,305.51,1,1261
"23",100827,2,1,"EB Lombard (2R012) to SB I-5",8,1,"100827/1",1,3,1030,1030,1030,NA,2015-06-02 15:10:00,305.4,1,1269
