stationid,agencyid,highwayid,highwayname,milepost,description,upstreamstation,downstreamstation,oppositestation,lon,lat
1103,1103,4,I-205               ,9.29,ORE 99E SB,1102,1104,1041,-122.6008466,45.36548684
1101,1101,4,I-205               ,11.05,Gladstone SB,1100,3001,1042,-122.5791786,45.38466047
3001,3001,4,I-205               ,11.05,I-205 SB @ Park Place,1101,1102,1042,-122.5791786,45.38466047
1100,1100,4,I-205               ,12.67,Clackamas Hwy SB,1099,1101,1043,-122.5713467,45.40691022
1099,239,4,I-205               ,13.38,ORE 224/82nd Ave SB,1106,1100,1044,-122.5744368,45.41705402
1106,240,4,I-205               ,13.38,ORE 224 SB,1126,1099,1044,-122.5744368,45.41705402
1125,242,4,I-205               ,14.58,Sunnyside SB,1098,1126,1045,-122.5663258,45.43305684
1098,243,4,I-205               ,16.24,Johnson Creek SB,1054,1125,1046,-122.5731305,45.45682133
1054,244,4,I-205               ,17.5,Foster SB,1053,1098,1047,-122.5658007,45.4739469
1051,247,4,I-205               ,20.34,Stark/Washington SB,1143,1052,1048,-122.565633,45.51461433
1117,226,3,I-205               ,19.4,Powell to I-205 NB,1047,1048,1052,-122.5651362,45.5008182
1048,227,3,I-205               ,19.78,Division NB,1117,1142,1052,-122.565061,45.5063326
1047,225,3,I-205               ,18.1,Foster NB,1046,1117,1054,-122.5657856,45.48251599
1046,224,3,I-205               ,16.2,Johnson Cr NB,1045,1047,1098,-122.5726702,45.45624098
1043,1043,3,I-205               ,12.94,Clackamas Hwy NB,1042,1044,1100,-122.5724137,45.41121046
1144,1144,3,I-205               ,10.27,Park Place to I-205 NB,1041,3002,1102,-122.5868251,45.3750054
1041,1041,3,I-205               ,9.45,ORE 99E NB,1110,1144,1103,-122.5976447,45.36629213
1109,1109,3,I-205               ,8.8,ORE 43 SB-NB,3103,1110,1104,-122.6099001,45.36275019
1044,221,3,I-205               ,13.58,Lawnfield NB,1043,1124,1106,-122.5726302,45.42019291
1104,1104,4,I-205               ,8.5,ORE 43 SB,1103,1115,1109,-122.6144311,45.36006343
1114,1114,4,I-205               ,2.86,Stafford to I-205 SB,3195,3101,1113,-122.7115533,45.37201853
1113,1113,3,I-205               ,3.55,Stafford to I-205 NB,3100,3102,1114,-122.6986935,45.36802206
1116,1116,3,I-205               ,6.88,10th Street to I-205 NB,3102,3103,1115,-122.6427264,45.34849623
1053,245,4,I-205               ,18.92,Powell Blvd SB,1052,1054,1117,-122.5655963,45.49458864
1052,246,4,I-205               ,19.25,Division SB,1051,1053,1117,-122.5655628,45.49934063
1126,241,4,I-205               ,14.32,Sunnybrook SB,1125,1106,1124,-122.5661259,45.42931949
1045,223,3,I-205               ,14.32,Sunnyside NB,1124,1046,1126,-122.5654358,45.42977749
1124,222,3,I-205               ,14.32,Sunnybrook NB,1044,1045,1126,-122.5654358,45.42977749
1141,249,4,I-205               ,23.41,Columbia to I-205 SB,1050,3107,1140,-122.5671801,45.5572642
1050,250,4,I-205               ,24.66,Airportway EB to SB,1049,1141,1140,-122.5499858,45.57105412
1140,229,3,I-205               ,23.41,Columbia to I-205 NB,3106,0,1141,-122.5663909,45.55743104
1143,248,4,I-205               ,21.12,Glisan to I-205 SB,3105,1051,1142,-122.5654288,45.52600553
1142,228,3,I-205               ,21.12,Glisan to I-205 NB,1048,3164,1143,-122.5651101,45.52587814
1102,1102,4,I-205               ,10.24,Park Place SB,3001,1103,1144,-122.5874342,45.3748082
1042,1042,3,I-205               ,11.05,Gladstone NB,3002,1043,3001,-122.5789281,45.38442753
3002,3002,3,I-205               ,11.05,I-205 NB @ Park Place,1144,1042,3001,-122.5789281,45.38442753
3101,3101,4,I-205               ,1.96,I-205 SB @ Prosperity Park,1114,0,3100,-122.7280588,45.37358617
3100,3100,3,I-205               ,1.96,I-205 NB @ Prosperity Park,0,1113,3101,-122.7303514,45.37314458
3195,3195,4,I-205               ,5.39,I-205 SB @ Blankenship,1115,1114,3102,-122.6654512,45.35773359
1115,1115,4,I-205               ,6.09,10th Street to I-205 SB,3104,3195,3102,-122.6572557,45.34954075
3104,3104,4,I-205               ,7.6,I-205 SB @ Viewpoint,1104,1115,3103,-122.6278892,45.3516547
3103,3103,3,I-205               ,7.6,I-205 NB @ Viewpoint,1116,1109,3104,-122.6282739,45.35110412
3164,273,3,I-205               ,21.68,I-205 NB @ Halsey Street,1142,3106,3105,-122.5640879,45.53404155
3107,269,4,I-205               ,23.27,I-205 NB @ Prescott,1141,3105,3106,-122.5673365,45.55527181
