starttime,traveltime
7/1/15 2:30,424
7/1/15 5:24,332
7/1/15 5:41,486
7/1/15 5:42,712
7/1/15 5:46,611
7/1/15 7:35,573
7/1/15 7:37,515
7/1/15 7:46,482
7/1/15 7:47,463
7/1/15 8:04,512
7/1/15 8:27,563
7/1/15 8:27,1824
7/1/15 8:33,531
7/1/15 8:38,576
7/1/15 8:38,573
7/1/15 8:43,846
7/1/15 8:48,538
7/1/15 9:20,551
7/1/15 9:21,548
7/1/15 10:03,469
7/1/15 10:04,606
7/1/15 10:17,1521
7/1/15 10:22,1937
7/1/15 10:29,617
7/1/15 10:30,518
7/1/15 10:32,476
7/1/15 10:35,594
7/1/15 10:44,613
7/1/15 11:03,2298
7/1/15 11:11,563
7/1/15 11:11,1195
7/1/15 11:14,559
7/1/15 11:14,560
7/1/15 11:19,509
7/1/15 11:19,2121
7/1/15 11:30,451
7/1/15 11:48,616
7/1/15 12:05,585
7/1/15 12:05,665
7/1/15 12:17,534
7/1/15 12:21,588
7/1/15 12:22,611
7/1/15 12:23,537
7/1/15 12:37,637
7/1/15 12:38,473
7/1/15 12:39,561
7/1/15 12:45,892
7/1/15 13:10,1555
7/1/15 13:14,533
7/1/15 13:15,673
7/1/15 13:20,563
7/1/15 13:23,541
7/1/15 13:27,548
7/1/15 13:33,915
7/1/15 13:33,917
7/1/15 13:44,660
7/1/15 13:45,596
7/1/15 13:48,579
7/1/15 14:10,599
7/1/15 14:11,560
7/1/15 14:11,626
7/1/15 14:17,611
7/1/15 14:22,542
7/1/15 14:22,580
7/1/15 14:24,577
7/1/15 14:28,801
7/1/15 14:28,678
7/1/15 14:30,586
7/1/15 14:31,593
7/1/15 14:32,548
7/1/15 14:35,636
7/1/15 14:40,671
7/1/15 14:40,747
7/1/15 14:41,715
7/1/15 14:47,662
7/1/15 15:04,688
7/1/15 15:04,1141
7/1/15 15:04,686
7/1/15 15:06,741
7/1/15 15:06,828
7/1/15 15:12,1160
7/1/15 15:13,832
7/1/15 15:13,770
7/1/15 15:14,844
7/1/15 15:15,861
7/1/15 15:19,813
7/1/15 15:24,1003
7/1/15 15:25,820
7/1/15 15:25,809
7/1/15 15:27,934
7/1/15 15:29,924
7/1/15 15:34,846
7/1/15 15:39,909
7/1/15 15:42,906
7/1/15 16:00,912
7/1/15 16:01,966
7/1/15 16:02,847
7/1/15 16:02,904
7/1/15 16:02,886
7/1/15 16:02,895
7/1/15 16:04,857
7/1/15 16:04,901
7/1/15 16:06,868
7/1/15 16:08,832
7/1/15 16:09,884
7/1/15 16:12,882
7/1/15 16:13,872
7/1/15 16:15,900
7/1/15 16:27,903
7/1/15 16:27,861
7/1/15 16:29,800
7/1/15 16:30,791
7/1/15 16:36,910
7/1/15 16:38,930
7/1/15 16:38,833
7/1/15 16:41,1013
7/1/15 17:03,1364
7/1/15 17:10,897
7/1/15 17:14,845
7/1/15 17:15,866
7/1/15 17:15,1306
7/1/15 17:17,871
7/1/15 17:17,840
7/1/15 17:21,794
7/1/15 17:24,795
7/1/15 17:24,854
7/1/15 17:25,841
7/1/15 17:27,728
7/1/15 17:37,739
7/1/15 17:40,675
7/1/15 17:41,773
7/1/15 17:42,695
7/1/15 17:43,676
7/1/15 17:46,795
7/1/15 18:01,891
7/1/15 18:02,848
7/1/15 18:02,882
7/1/15 18:06,871
7/1/15 18:07,1800
7/1/15 18:07,1960
7/1/15 18:07,975
7/1/15 18:07,884
7/1/15 18:12,881
7/1/15 18:17,723
7/1/15 18:18,870
7/1/15 18:22,900
7/1/15 18:24,910
