"","stationid","lanenumber","period","volume","occupancy","speed"
"1",3146,"1",2015-09-01 00:00:00,28,0.884615384615385,67.75
"2",3146,"1",2015-09-01 01:00:00,14,0.785714285714286,69.4285714285714
"3",3146,"1",2015-09-01 02:00:00,21,0.894736842105263,67.6190476190476
"4",3146,"1",2015-09-01 03:00:00,37,0.727272727272727,71.972972972973
"5",3146,"1",2015-09-01 04:00:00,203,2.21111111111111,72.2315270935961
"6",3146,"1",2015-09-01 05:00:00,862,5.49112426035503,71.2645011600928
"7",3146,"1",2015-09-01 06:00:00,1261,8.98125,70.3370340999207
"8",3146,"1",2015-09-01 07:00:00,1371,8.90697674418605,70.6404084609774
"9",3146,"1",2015-09-01 08:00:00,869,5.67857142857143,71.1772151898734
"10",3146,"1",2015-09-01 09:00:00,578,3.92763157894737,70.6193771626298
"11",3146,"1",2015-09-01 10:00:00,627,3.95209580838323,70.8931419457735
"12",3146,"1",2015-09-01 11:00:00,637,4.38888888888889,70.1585557299843
"13",3146,"1",2015-09-01 12:00:00,732,4.68823529411765,70.8415300546448
"14",3146,"1",2015-09-01 13:00:00,707,4.47976878612717,70.007072135785
"15",3146,"1",2015-09-01 14:00:00,766,5.06508875739645,70.27545691906
"16",3146,"1",2015-09-01 15:00:00,785,4.77222222222222,70.1630573248408
"17",3146,"1",2015-09-01 16:00:00,691,4.84615384615385,71.7409551374819
"18",3146,"1",2015-09-01 17:00:00,606,3.81286549707602,71.7310231023102
"19",3146,"1",2015-09-01 18:00:00,536,3.54716981132075,71.2723880597015
"20",3146,"1",2015-09-01 19:00:00,451,3.31724137931035,71.4146341463415
"21",3146,"1",2015-09-01 20:00:00,241,2.12727272727273,69.4190871369295
"22",3146,"1",2015-09-01 21:00:00,206,1.68181818181818,67.3252427184466
"23",3146,"1",2015-09-01 22:00:00,101,1.58823529411765,64.0891089108911
"24",3146,"1",2015-09-01 23:00:00,79,1.13114754098361,65.1898734177215
"25",3146,"1",2015-09-02 00:00:00,47,1.06976744186047,66.3617021276596
"26",3146,"1",2015-09-02 01:00:00,22,1.05555555555556,71.1818181818182
"27",3146,"1",2015-09-02 02:00:00,16,0.857142857142857,67.25
"28",3146,"1",2015-09-02 03:00:00,41,0.833333333333333,70.7560975609756
"29",3146,"1",2015-09-02 04:00:00,206,1.72641509433962,72.6990291262136
"30",3146,"1",2015-09-02 05:00:00,724,5.13157894736842,71.5469613259668
"31",3146,"1",2015-09-02 06:00:00,1423,9.35795454545454,70.512297962052
